Processor Pool Total: 2115141856 Used:  255817016 Free: 1859324840
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 574   0       3216          0      33160          0          0 Call Home DSfile
 187   0       3152          0      33096          0          0 MLRIB L2 Msg Thr
 184   0       3152          0      33096          0          0 L2FIB Timer Disp
 140   0       3152          0      33096          0          0 RF Master Status
 192   0       3152          0      33096          0          0 L2RIB Thread    
 175   0       4264       1920      33040          0          0 ACE HAPI        
 597   0       3008          0      32952          0          0 qos_mon_periodic
 411   0       3008          0      32952          0          0 AC Mgr          
  32   0       2192          0      32136          0          0 IPC Seat Manager
 551   0       2464        448      31960          0          0 DAPR RM RCV PROC
 545   0       1824          0      31768          0          0 IKEv2 Cluster Lo
 397   0       2272        448      31768          0          0 URL filter proc 
 529   0       5112          0      31320          0          0 OSPF-1 Hello    
 375   0       1864          0      31312          0          0 DNS Service     
 410   0       1880        600      31224          0          0 LFDp Input Proc 
 505   0       1056          0      31000          0          0 VPM_CONN_CHK_BAC
  94   0        872          0      30816          0          0 IF-MGR control p
 506   0        864          0      30808          0          0 CCVPM_R2        
 370   0        696       7176      30640          0          0 Service Routing 
 523   0        896        448      30392          0          0 Lawful Intercept
 255   0        896        448      30392          0          0 Spanning Tree   
 524   0        896        448      30392          0          0 LI messaging    
 361   0        896        448      30392          0          0 SR Policy HA    
 407   0        896        448      30392          0          0 MPLS TP HA      
 474   0        880        448      30376          0          0 PIM HA          
 495   0        432          0      30376          0          0 GKM KS PROCESS  
 504   0        416          0      30360          0          0 VPM_CABLE_STAT_P
 330   0        408          0      30352          0          0 XDR FOF process 
 280   0        408          0      30352          0          0 XDR background p
 565   0        408          0      30352          0          0 Online Diag CNS 
 291   0        408          0      30352          0          0 CEF RP Backgroun
 162   0        408          0      30352          0          0 Src Fltr backgro
 566   0        408          0      30352          0          0 Online Diag CNS 
 531   0        408          0      30352          0          0 Online Diag EEM 
 476   0        144          0      30088          0          0 crypto engine pr
 147   0          0          0      30080          0          0 Transport Port A
  90   0          0          0      30072          0          0 CTS HA operation
 323   0          0          0      30072          0          0 TCP HA PROC     
 306   0        448        448      29944          0          0 EFP Errd        
 188   0          0          0      29944          0          0 TEMPLATE HA     
 348   0          0          0      29944          0          0 MRIB RP PROCESS 
 350   0          0          0      29944          0          0 IPv6 ACL RP Proc
 352   0          0          0      29944          0          0 SNMP Timers     
 109   0          0          0      29944          0          0 QoS HA ID RETAIN
 351   0        448        448      29944          0          0 RBSCP Background
 355   0          0          0      29944          0          0 VRRP HA         
 356   0          0          0      29944          0          0 IOSXE-RP Punt Qo
 189   0          0          0      29944          0          0 DVLAN HA        
 201   0          0          0      29944          0          0 SNMP DBAL Cache 
 359   0          0          0      29944          0          0 VTEMPLATE IPC fl
 190   0          0          0      29944          0          0 RABAPOL HA      
 338   0          0          0      29944          0          0 ATM HA IPC flow 
 186   0          0          0      29944          0          0 IGMP Route Rx Pr
 185   0          0          0      29944          0          0 IGMP Route Msg H
 344   0          0          0      29944          0          0 HSRP HA         
 298   0          0          0      29944          0          0 BSO_Query       
 366   0        448        448      29944          0          0 PPP Compress Res
 110   0          0          0      29944          0          0 CHKPT Test clien
 363   0          0          0      29944          0          0 BFD HA          
 369   0        448        448      29944          0          0 Dialer Forwarder
  86   0      17152      17152      29944          0          0 Crimson flush tr
 308   0        448        448      29944          0          0 Ether Infra RP  
  74   0          0          0      29944          0          0 Token Daemon    
 343   0          0          0      29944          0          0 Probe Input     
 342   0          0          0      29944          0          0 GLBP HA         
 112   0          0          0      29944          0          0 CHKPT Test clien
  67   0          0          0      29944          0          0 Image License br
 108   0          0          0      29944          0          0 ANCP HA IPC flow
 341   0          0          0      29944          0          0 FR HA           
 340   0          0          0      29944          0          0 EVPN HA Bulk Syn
 183   0          0          0      29944          0          0 PPCP RP Stats Ba
 381   0        448        448      29944          0          0 DHCPv6 LQ client
 202   0          0          0      29944          0          0 SNMP DBAL Cache 
 383   0          0          0      29944          0          0 PAD InCall      
 177   0          0          0      29944          0          0 RTTYS Process   
 364   0          0          0      29944          0          0 AAA System Acct 
  66   0          0          0      29944          0          0 License HA Consi
 176   0          0          0      29944          0          0 ACE policy loade
  65   0     386272     386272      29944          0          0 Licensing Auto U
 285   0          0          0      29944          0          0 XDR RP Test Back
 307   0        448        448      29944          0          0 Ether EFP Proces
  64   0        576       2560      29944          0          0 License Client N
 284   0          0          0      29944          0          0 IPC LC Message H
 113   0          0          0      29944          0          0 CHKPT Test clien
 210   0        560        560      29944          0          0 AAA Dictionary R
 395   0        448        448      29944          0          0 Inspect process 
 396   0        552        552      29944          0          0 DiagCard2/-1    
  75   0          0          0      29944          0          0 Critical Bkgnd  
 111   0          0          0      29944          0          0 CHKPT Test clien
 399   0          0          0      29944          0          0 MFI Comm RP Proc
 114   0          0          0      29944          0          0 CHKPT Test clien
 171   0          0          0      29944          0          0 ASR1000-RP SPA A
 282   0          0          0      29944          0          0 XDR RP Ping Back
 403   0        448        448      29944          0          0 MPLS VPN HA Clie
 404   0        448        448      29944          0          0 TSPTUN HA       
 170   0        448        448      29944          0          0 MIP Mailbox     
 406   0        448        448      29944          0          0 TE NSR OOS DB Pr
 204   0          0          0      29944          0          0 AAA ACCT Proc   
 281   0          0          0      29944          0          0 XDR mcast       
 409   0          0          0      29944          0          0 AToM MGR HA IPC 
 378   0          0          0      29944          0          0 RARP Input      
  87   0        560        560      29944          0          0 Cloud HA        
 314   0          0          0      29944          0          0 ELB HA IPC flow 
 276   0          0          0      29944          0          0 AC Switch       
 329   0          0          0      29944          0          0 RETRY_REPOPULATE
 275   0          0          0      29944          0          0 SVM HA          
 416   0          0          0      29944          0          0 XC RIB MGR      
  95   0          0          0      29944          0          0 IF-MGR event pro
 418   0          0          0      29944          0          0 BD Route Msg Hol
 419   0          0          0      29944          0          0 BD Route Rx Proc
 315   0          0          0      29944          0          0 IP Traceroute   
  89   0          0          0      29944          0          0 CTS HA IPC flow 
 382   0          0          0      29944          0          0 LAPB Process    
 194   0          0          0      29944          0          0 RG VP           
 195   0        448        448      29944          0          0 RG AR           
 168   0          0          0      29944          0          0 vNIC stats Proce
 286   0          0          0      29944          0          0 FRR Background P
 427   0          0          0      29944          0          0 ac_atm_mraps_hsp
 428   0          0          0      29944          0          0 AC HA Bulk Sync 
 429   0          0          0      29944          0          0 ATM HA AC       
 430   0        448        448      29944          0          0 PPPoE VRRS EVT M
 390   0          0          0      29944          0          0 Select Timers   
 432   0          0          0      29944          0          0 VPDN CCM Backgro
 274   0          0          0      29944          0          0 CCM IPC flow con
 322   0          0          0      29944          0          0 IGMPSN          
 273   0          0          0      29944          0          0 CCM             
 272   0          0          0      29944          0          0 Spanning Tree St
  97   0          0          0      29944          0          0 cpf_msg_holdq_pr
 438   0          0          0      29944          0          0 Consent token pr
 107   0          0          0      29944          0          0 ANCP HA         
 115   0          0          0      29944          0          0 CHKPT Test clien
 321   0          0          0      29944          0          0 IGMPSN MRD      
 309   0          0          0      29944          0          0 CFM HA IPC messa
 443   0          0          0      29944          0          0 EM Background Pr
 444   0          0          0      29944          0          0 IDMGR CORE      
  58   0          0          0      29944          0          0 client_entity_se
 166   0        448        448      29944          0          0 VMI Background  
 447   0          0          0      29944          0          0 Key chain liveke
 448   0        448        448      29944          0          0 LINE AAA        
 165   0        448        448      29944          0          0 BMA Background  
  57   0          0          0      29944          0          0 Net Input       
 116   0          0          0      29944          0          0 CHKPT Test clien
 163   0        448        448      29944          0          0 FLEX DNLD MAIN  
 265   0          0          0      29944          0          0 O-UNI Client Msg
  54   0        448        448      29944          0          0 GraphIt         
 173   0          0          0      29944          0          0 TP CUTOVER EVENT
 456   0        448        448      29944          0          0 Crypto Support  
 457   0          0          0      29944          0          0 IPSECv6 PS Proc 
 198   0          0          0      29944          0          0 HDLC HA         
  53   0          0          0      29944          0          0 IOSXE signals IO
 460   0        448        448      29944          0          0 CCVPM_HDSPRM    
 461   0        448        448      29944          0          0 VSP_MGR         
 264   0        448        448      29944          0          0 OCE punted Pkts 
  51   0        448        448      29944          0          0 Serial Backgroun
 464   0        448        448      29944          0          0 CRM_CALL_UPDATE_
 161   0          0          0      29944          0          0 fanrp_macsec    
 466   0     142360     142360      29944          0          0 NIST rng proc   
 158   0          0          0      29944          0          0 SSLVPN Register 
 468   0        448        448      29944          0          0 File Copy Handle
 469   0          0          0      29944          0          0 COND_DEBUG HA IP
  50   0       1456       1456      29944          0          0 PrstVbl         
 263   0    6224080    6777312      29944          0          0 DiagCard1/-1    
 472   0          0          0      29944          0          0 DS0 PCM Capture 
 153   0        448        448      29944          0          0 FEC_Link_event_h
 320   0          0          0      29944          0          0 IGMPSN L2MCM    
 262   0          0          0      29944          0          0 Appnav auto disc
 333   0          0          0      29944          0          0 IGMPQR          
 152   0          0          0      29944          0          0 fanrp_l2fib     
  48   0        448        448      29944          0          0 DDR Timers      
 150   0        568        568      29944          0          0 NGIO_BRI_POLL_DE
 149   0          0          0      29944          0          0 IOSXE-RP FastPat
 148   0          0          0      29944          0          0 SDWAN PB rx     
 191   0          0          0      29944          0          0 RABAPOL HA IPC f
  98   0          0          0      29944          0          0 cpf_msg_rcvq_pro
  46   0          0          0      29944          0          0 AAA_SERVER_DEADT
 485   0          0          0      29944          0          0 IKEv2 AAA handle
 486   0        448       1008      29944          0          0 CRYPTO MAP FREE 
 260   0          0          0      29944          0          0 X.25 Encaps Sub-
 144   0        448        448      29944          0          0 Compute load avg
  45   0          0          0      29944          0          0 CEF MIB API     
 259   0          0          0      29944          0          0 X.25 Encaps Mana
  44   0          0          0      29944          0          0 ATM ASYNC PROC  
  43   0        448        448      29944          0          0 ATM Idle Timer  
 493   0          0          0      29944          0          0 Crypto PAS Proc 
 494   0        448        448      29944          0          0 GKM GM Process  
