device_name,command,snapshot_id
R2,show route summary,2026-03-03_1944
SW2,show ip route,2026-03-03_1944
R3,show ip route summary,2026-03-03_1944
R4,show ip route summary,2026-03-03_1944
SW2,show ip route,2026-03-03_1940
R3,show ip route,2026-03-03_1940
R3,show ip route summary,2026-03-03_1940
R4,show ip route summary,2026-03-03_1940
R1,show route summary,2026-03-03_1940
SW1,show ip route,2026-03-03_1940
R2,show route summary,2026-03-03_1940
SW1,show ip route summary,2026-03-03_1940
SW2,show ip route summary,2026-03-03_1940
R3,show ip ospf database router,2026-03-03_1940
R4,show ip ospf database router,2026-03-03_1940
R4,show ip route,2026-03-03_1940
SW2,show ip route,2026-03-03_1754
R4,show ip route summary,2026-03-03_1754
R3,show ip route,2026-03-03_1754
R3,show ip route summary,2026-03-03_1754
R1,show route summary,2026-03-03_1754
R2,show route summary,2026-03-03_1754
SW1,show ip route,2026-03-03_1754
SW1,show ip route summary,2026-03-03_1754
SW2,show ip route summary,2026-03-03_1754
R3,show ip ospf database router,2026-03-03_1754
R4,show ip ospf database router,2026-03-03_1754
R4,show ip route,2026-03-03_1754
R3,show ip route,2026-03-03_1751
R1,show route summary,2026-03-03_1751
R3,show ip ospf database router,2026-03-03_1751
SW2,show ip route,2026-03-03_1751
R4,show ip ospf database router,2026-03-03_1751
R4,show ip route,2026-03-03_1751
R4,show ip route summary,2026-03-03_1751
R3,show ip route summary,2026-03-03_1751
SW2,show ip route summary,2026-03-03_1751
SW1,show ip route,2026-03-03_1751
R2,show route summary,2026-03-03_1751
SW1,show ip route summary,2026-03-03_1751
SW2,show ip route summary,2026-03-03_1746
R4,show ip route,2026-03-03_1746
SW1,show ip route,2026-03-03_1746
R4,show ip ospf database router,2026-03-03_1746
R3,show ip ospf database router,2026-03-03_1746
R3,show ip route,2026-03-03_1746
R1,show route summary,2026-03-03_1746
SW1,show ip route summary,2026-03-03_1746
SW2,show ip route,2026-03-03_1746
R2,show route summary,2026-03-03_1746
R4,show ip route summary,2026-03-03_1746
R3,show ip route summary,2026-03-03_1746
R3,show ip ospf database router,2026-03-02_2246
R3,show ip route summary,2026-03-02_2246
R3,show ip route,2026-03-02_2246
R4,show ip route summary,2026-03-02_2246
R1,show route summary,2026-03-02_2246
R4,show ip ospf database router,2026-03-02_2246
R4,show ip route,2026-03-02_2246
SW1,show ip route summary,2026-03-02_2246
R2,show route summary,2026-03-02_2246
SW2,show ip route,2026-03-02_2246
SW2,show ip route summary,2026-03-02_2246
SW1,show ip route,2026-03-02_2246
R3,show ip ospf database router,2026-03-02_2133
R4,show ip route summary,2026-03-02_2133
R3,show ip route,2026-03-02_2133
R3,show ip route summary,2026-03-02_2133
R1,show route summary,2026-03-02_2133
R4,show ip ospf database router,2026-03-02_2133
R4,show ip route,2026-03-02_2133
R2,show route summary,2026-03-02_2133
SW2,show ip route,2026-03-02_2133
SW1,show ip route summary,2026-03-02_2133
SW1,show ip route,2026-03-02_2133
SW2,show ip route summary,2026-03-02_2133
R3,show ip route summary,2026-03-02_2127
R4,show ip route summary,2026-03-02_2127
R3,show ip ospf database router,2026-03-02_2127
SW2,show ip route,2026-03-02_2127
R2,show route summary,2026-03-02_2127
SW1,show ip route summary,2026-03-02_2127
SW2,show ip route summary,2026-03-02_2127
SW1,show ip route,2026-03-02_2127
R1,show route summary,2026-03-02_2127
R4,show ip ospf database router,2026-03-02_2127
R4,show ip route,2026-03-02_2127
R3,show ip route,2026-03-02_2127
R1,show route summary,2026-03-02_2110
R3,show ip route,2026-03-02_2110
SW2,show ip route,2026-03-02_2110
R3,show ip ospf database router,2026-03-02_2110
R4,show ip route,2026-03-02_2110
R4,show ip ospf database router,2026-03-02_2110
SW1,show ip route,2026-03-02_2110
R3,show ip route summary,2026-03-02_2110
R4,show ip route summary,2026-03-02_2110
SW2,show ip route summary,2026-03-02_2110
R2,show route summary,2026-03-02_2110
SW1,show ip route summary,2026-03-02_2110
R3,show ip route,2026-03-02_2038
R1,show route summary,2026-03-02_2038
SW2,show ip route,2026-03-02_2038
R3,show ip ospf database router,2026-03-02_2038
R4,show ip route,2026-03-02_2038
R4,show ip ospf database router,2026-03-02_2038
R4,show ip route summary,2026-03-02_2038
SW1,show ip route,2026-03-02_2038
SW2,show ip route summary,2026-03-02_2038
R3,show ip route summary,2026-03-02_2038
R2,show route summary,2026-03-02_2038
SW1,show ip route summary,2026-03-02_2038
R4,show ip route,2026-03-02_1829
R4,show ip ospf database router,2026-03-02_1829
SW2,show ip route summary,2026-03-02_1829
SW1,show ip route,2026-03-02_1829
R3,show ip route,2026-03-02_1829
R1,show route summary,2026-03-02_1829
R3,show ip ospf database router,2026-03-02_1829
SW2,show ip route,2026-03-02_1829
R2,show route summary,2026-03-02_1829
SW1,show ip route summary,2026-03-02_1829
R4,show ip route summary,2026-03-02_1829
R3,show ip route summary,2026-03-02_1829
R4,show ip ospf database router,2026-03-02_1810
R4,show ip route,2026-03-02_1810
SW1,show ip route summary,2026-03-02_1810
R2,show route summary,2026-03-02_1810
R1,show route summary,2026-03-02_1810
R3,show ip ospf database router,2026-03-02_1810
R3,show ip route,2026-03-02_1810
R4,show ip route summary,2026-03-02_1810
R3,show ip route summary,2026-03-02_1810
SW2,show ip route summary,2026-03-02_1810
SW1,show ip route,2026-03-02_1810
SW2,show ip route,2026-03-02_1810
R3,show ip ospf database router,2026-03-02_1717
R4,show ip route summary,2026-03-02_1717
R3,show ip route,2026-03-02_1717
R3,show ip route summary,2026-03-02_1717
R1,show route summary,2026-03-02_1717
R4,show ip ospf database router,2026-03-02_1717
R4,show ip route,2026-03-02_1717
SW1,show ip route summary,2026-03-02_1717
R2,show route summary,2026-03-02_1717
SW2,show ip route,2026-03-02_1717
SW2,show ip route summary,2026-03-02_1717
SW1,show ip route,2026-03-02_1717
R3,show ip route,2026-03-02_1652
R1,show route summary,2026-03-02_1652
R3,show ip ospf database router,2026-03-02_1652
SW2,show ip route,2026-03-02_1652
R4,show ip route,2026-03-02_1652
R4,show ip ospf database router,2026-03-02_1652
SW1,show ip route,2026-03-02_1652
SW2,show ip route summary,2026-03-02_1652
R3,show ip route summary,2026-03-02_1652
R4,show ip route summary,2026-03-02_1652
SW1,show ip route summary,2026-03-02_1652
R2,show route summary,2026-03-02_1652
