command_name,platform
show interface snmp-ifindex,cisco_nxos
show interface status,cisco_nxos
show interface switchport,cisco_nxos
show interface transceiver,cisco_nxos
show interface transceiver details,cisco_nxos
show inventory,cisco_nxos
show ip adjacency,cisco_nxos
show ip arp,cisco_nxos
show ip arp detail,cisco_nxos
show ip arp detail vrf all,cisco_nxos
show ip bgp,cisco_nxos
show ip bgp neighbors,cisco_nxos
show ip bgp summary,cisco_nxos
show ip bgp summary vrf,cisco_nxos
show ip community-list,cisco_nxos
show ip dhcp relay address,cisco_nxos
show ip dhcp snooping statistics,cisco_nxos
show ip eigrp neighbors,cisco_nxos
show ip interface,cisco_nxos
show ip interface brief,cisco_nxos
show ip interface vrf all,cisco_nxos
show ip mroutes vrf all,cisco_nxos
show ip msdp summary vrf all,cisco_nxos
show ip ospf database,cisco_nxos
show ip ospf interface brief,cisco_nxos
show ip ospf neighbor,cisco_nxos
show ip pim group-range vrf all,cisco_nxos
show ip pim interface brief vrf all,cisco_nxos
show ip pim neighbor vrf all,cisco_nxos
show ip pim rp vrf all,cisco_nxos
show ip route,cisco_nxos
show ipv6 interface brief,cisco_nxos
show l2rib internal permanently-frozen-list,cisco_nxos
show license usage,cisco_nxos
show lldp neighbors,cisco_nxos
show lldp neighbors detail,cisco_nxos
show mac address-table,cisco_nxos
show module,cisco_nxos
show nve peers,cisco_nxos
show nve vni,cisco_nxos
show nve vni interface nve 1 detail,cisco_nxos
show port-channel summary,cisco_nxos
show processes cpu,cisco_nxos
show route-map,cisco_nxos
show spanning-tree root,cisco_nxos
show switching-mode,cisco_nxos
show vdc,cisco_nxos
show version,cisco_nxos
show vlan,cisco_nxos
show vpc,cisco_nxos
show vrf,cisco_nxos
show vrf detail,cisco_nxos
show vrf interface,cisco_nxos
show interfaces description,cisco_s300
show interfaces status,cisco_s300
show interfaces switchport,cisco_s300
show ip interface,cisco_s300
show lldp neighbors,cisco_s300
show mac address-table,cisco_s300
show system,cisco_s300
show system id,cisco_s300
show version,cisco_s300
show vlan,cisco_s300
show arp,cisco_viptela
show interface,cisco_viptela
ssh show 802.11a,cisco_wlc
ssh show 802.11a cleanair config,cisco_wlc
ssh show advanced 802.11a channel,cisco_wlc
ssh show ap config general,cisco_wlc
ssh show ap image all,cisco_wlc
ssh show ap summary,cisco_wlc
ssh show band-select,cisco_wlc
ssh show boot,cisco_wlc
ssh show cdp neighbors detail,cisco_wlc
ssh show client detail,cisco_wlc
ssh show exclusionlist,cisco_wlc
ssh show flexconnect group summary,cisco_wlc
ssh show interface detailed id,cisco_wlc
ssh show interface group summary,cisco_wlc
ssh show interface summary,cisco_wlc
ssh show inventory,cisco_wlc
ssh show mobility anchor,cisco_wlc
ssh show mobility sum,cisco_wlc
ssh show port summary,cisco_wlc
ssh show radius summary,cisco_wlc
ssh show redundancy detail,cisco_wlc
ssh show redundancy summary,cisco_wlc
ssh show rf-profile summary,cisco_wlc
ssh show stats port summary,cisco_wlc
ssh show sysinfo,cisco_wlc
ssh show tacacs summary,cisco_wlc
ssh show time,cisco_wlc
ssh show wlan sum,cisco_wlc
admin show controller fabric health,cisco_xr
admin show environment fan,cisco_xr
admin show environment power,cisco_xr
admin show inventory,cisco_xr
admin show platform,cisco_xr
admin show vm,cisco_xr
dir,cisco_xr
ping,cisco_xr
show arp,cisco_xr
show asic-errors all location,cisco_xr
show bfd sessions,cisco_xr
show bgp,cisco_xr
show bgp instance all summary,cisco_xr
show bgp neighbors,cisco_xr
show bgp vrf all ipv4 unicast summary,cisco_xr
show bgp vrf all neighbors advertised-routes,cisco_xr
show cdp neighbors detail,cisco_xr
show cef drops location,cisco_xr
show configuration commit list,cisco_xr
show controller fabric plane all,cisco_xr
show controllers HundredGigabitEthernet,cisco_xr
show controllers all phy,cisco_xr
show controllers fabric fia drops egress location,cisco_xr
show controllers fabric fia drops ingress location,cisco_xr
show controllers fabric fia errors egress location,cisco_xr
show controllers fabric fia errors ingress location,cisco_xr
show controllers hundredgige all,cisco_xr
show dhcp ipv4 proxy binding,cisco_xr
show drops np all,cisco_xr
show hsrp,cisco_xr
show install active,cisco_xr
show interface brief,cisco_xr
show interfaces,cisco_xr
show interfaces description,cisco_xr
show interfaces summary,cisco_xr
show ip bgp summary,cisco_xr
show ip interface brief,cisco_xr
show ip route,cisco_xr
show ipv4 interface,cisco_xr
show ipv4 vrf all interface brief,cisco_xr
show ipv6 neighbors,cisco_xr
show isis neighbors,cisco_xr
show l2vpn mac-learning mac all location,cisco_xr
show lldp neighbors,cisco_xr
show lldp neighbors detail,cisco_xr
