device_name,interface,ip_address
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Et0/3,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/0,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/1,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/2,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Ethernet0/3,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo0,
R3,Lo99,
R3,Lo99,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback0,
R3,Loopback99,
R3,Loopback99,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vl10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R3,Vlan10,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/0,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/1,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/2,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Et0/3,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/0,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/1,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/2,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Ethernet0/3,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
