command_name,platform,category,template_path,has_template,allowed,blacklisted,pipe_allowed,updated_at
show standby,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_standby.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show nve peers,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_nve_peers.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show nve vni,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_nve_vni.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show object-group,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_object-group.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show standby brief,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_standby_brief.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip cef,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_cef.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip cef detail,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_cef_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip device tracking all,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_device_tracking_all.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show rep topology,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_rep_topology.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip dhcp snooping binding,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_dhcp_snooping_binding.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show switch detail,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_switch_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show isdn status,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_isdn_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show power available,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_power_available.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show power inline,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_power_inline.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip flow toptalkers,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_flow_toptalkers.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip http server status,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_http_server_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show power status,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_power_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show switch virtual,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_switch_virtual.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show power supplies,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_power_supplies.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip nat translations,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_nat_translations.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show power used,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_power_used.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show tacacs,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_tacacs.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show redundancy,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_redundancy.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show module,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_module.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show alert counters,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_alert_counters.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show interface link,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_interface_link.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show interface transceiver,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_interface_transceiver.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show interfaces,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_interfaces.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show interfaces status,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_interfaces_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show mpls interfaces,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_mpls_interfaces.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show interfaces switchport,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_interfaces_switchport.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip vrf interfaces,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_vrf_interfaces.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show mpls l2transport vc,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_mpls_l2transport_vc.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ipv6 interface brief,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ipv6_interface_brief.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show switch detail stack ports,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_switch_detail_stack_ports.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
