device_name,neighbor_ip,neighbor_as,state,snapshot_id,created_at
R4,2.2.2.2,65001,Established,2026-03-04_1109,
R4,2.2.2.2,65001,Established,2026-03-02_2246,
R4,2.2.2.2,65001,Established,2026-03-30_1917,
R3,1.1.1.1,65000,Established,2026-03-02_1810,
R4,2.2.2.2,65001,Established,2026-03-03_2009,
R3,2.2.2.2,65001,Established,2026-03-30_1923,
R3,1.1.1.1,65000,Established,2026-03-30_1923,
R3,1.1.1.1,65000,Established,2026-03-30_1859,
R3,1.1.1.1,65000,Established,2026-03-03_1754,
R4,1.1.1.1,65000,Established,2026-03-29_2224,
R4,2.2.2.2,65001,Established,2026-03-29_2224,
R4,2.2.2.2,65001,Established,2026-03-02_2133,
R4,2.2.2.2,65001,Established,2026-03-16_1440,
R4,2.2.2.2,65001,Established,2026-03-29_2250,
R4,2.2.2.2,65001,Established,2026-03-30_2210,
R4,2.2.2.2,65001,Established,2026-03-02_1829,
R4,2.2.2.2,65001,Established,2026-03-03_1951,
R3,1.1.1.1,65000,Established,2026-03-05_1559,
R3,1.1.1.1,65000,Established,2026-03-30_2148,
R4,2.2.2.2,65001,Established,2026-03-03_1751,
R3,1.1.1.1,65000,Established,2026-03-02_2110,
R3,1.1.1.1,65000,Established,2026-03-02_1717,
R3,1.1.1.1,65000,Established,2026-03-05_1615,
R4,2.2.2.2,65001,Established,2026-03-04_1115,
SW1,1.1.1.1,65000,Established,2026-03-29_2127,
R3,1.1.1.1,65000,Established,2026-03-02_2038,
R4,2.2.2.2,65001,Established,2026-03-03_1746,
R4,2.2.2.2,65001,Established,2026-03-05_1918,
R4,1.1.1.1,65000,Established,2026-03-29_2139,
R4,2.2.2.2,65001,Established,2026-03-29_2139,
R4,2.2.2.2,65001,Established,2026-03-02_1810,
R4,1.1.1.1,65000,Established,2026-03-30_1859,
R4,2.2.2.2,65001,Established,2026-03-30_1859,
R3,1.1.1.1,65000,Established,2026-03-29_2224,
R3,1.1.1.1,65000,Established,2026-03-02_2133,
R3,2.2.2.2,65001,Established,2026-03-30_2210,
R3,1.1.1.1,65000,Established,2026-03-30_2210,
R4,2.2.2.2,65001,Established,2026-03-30_1923,
R3,1.1.1.1,65000,Established,2026-03-02_1829,
R3,1.1.1.1,65000,Established,2026-03-02_2246,
R3,1.1.1.1,65000,Established,2026-03-16_1440,
R3,2.2.2.2,65001,Established,2026-03-30_1917,
R3,1.1.1.1,65000,Established,2026-03-30_1917,
R4,2.2.2.2,65001,Established,2026-03-03_1754,
R3,1.1.1.1,65000,Established,2026-03-03_2009,
R3,2.2.2.2,65001,Established,2026-03-29_2250,
R3,1.1.1.1,65000,Established,2026-03-29_2250,
SW2,1.1.1.1,65000,Established,2026-03-29_2127,
R3,1.1.1.1,65000,Established,2026-03-03_1944,
R4,1.1.1.1,65000,Established,2026-03-29_2127,
R4,2.2.2.2,65001,Established,2026-03-29_2127,
SW1,1.1.1.1,65000,Established,2026-03-29_2139,
