device_name,command,snapshot_id,row_count
SW2,show cdp neighbors detail,2026-03-16_1440,1
SW2,show cdp neighbors,2026-03-16_1440,1
R1,show lldp neighbors,2026-03-16_1414,1
R2,show lldp neighbors,2026-03-16_1414,1
R3,show cdp neighbors,2026-03-16_1414,1
R3,show cdp neighbors detail,2026-03-16_1414,1
R3,show lldp neighbors detail,2026-03-16_1414,1
R3,show lldp neighbors,2026-03-16_1414,1
R4,show cdp neighbors detail,2026-03-16_1414,1
R4,show cdp neighbors,2026-03-16_1414,1
R4,show lldp neighbors,2026-03-16_1414,1
R4,show lldp neighbors detail,2026-03-16_1414,1
SW1,show cdp neighbors detail,2026-03-16_1414,1
SW1,show cdp neighbors,2026-03-16_1414,1
SW2,show cdp neighbors,2026-03-16_1414,1
SW2,show cdp neighbors detail,2026-03-16_1414,1
R1,show lldp neighbors,2026-03-06_0931,1
R2,show lldp neighbors,2026-03-06_0931,1
R3,show lldp neighbors detail,2026-03-06_0931,1
R3,show cdp neighbors detail,2026-03-06_0931,1
R3,show cdp neighbors,2026-03-06_0931,1
R3,show lldp neighbors,2026-03-06_0931,1
R4,show lldp neighbors,2026-03-06_0931,1
R4,show cdp neighbors,2026-03-06_0931,1
R4,show cdp neighbors detail,2026-03-06_0931,1
R4,show lldp neighbors detail,2026-03-06_0931,1
SW1,show cdp neighbors detail,2026-03-06_0931,1
SW1,show cdp neighbors,2026-03-06_0931,1
SW2,show cdp neighbors,2026-03-06_0931,1
SW2,show cdp neighbors detail,2026-03-06_0931,1
R1,show lldp neighbors,2026-03-06_0246,1
R2,show lldp neighbors,2026-03-06_0246,1
R3,show cdp neighbors detail,2026-03-06_0246,1
R3,show lldp neighbors detail,2026-03-06_0246,1
R3,show lldp neighbors,2026-03-06_0246,1
R3,show cdp neighbors,2026-03-06_0246,1
R4,show lldp neighbors detail,2026-03-06_0246,1
R4,show cdp neighbors detail,2026-03-06_0246,1
R4,show lldp neighbors,2026-03-06_0246,1
R4,show cdp neighbors,2026-03-06_0246,1
SW1,show cdp neighbors,2026-03-06_0246,1
SW1,show cdp neighbors detail,2026-03-06_0246,1
SW2,show cdp neighbors detail,2026-03-06_0246,1
SW2,show cdp neighbors,2026-03-06_0246,1
R1,show lldp neighbors,2026-03-05_1918,1
R2,show lldp neighbors,2026-03-05_1918,1
R3,show cdp neighbors detail,2026-03-05_1918,1
R3,show lldp neighbors detail,2026-03-05_1918,1
R3,show lldp neighbors,2026-03-05_1918,1
R3,show cdp neighbors,2026-03-05_1918,1
R4,show lldp neighbors detail,2026-03-05_1918,1
R4,show cdp neighbors detail,2026-03-05_1918,1
R4,show lldp neighbors,2026-03-05_1918,1
R4,show cdp neighbors,2026-03-05_1918,1
SW1,show cdp neighbors,2026-03-05_1918,1
SW1,show cdp neighbors detail,2026-03-05_1918,1
SW2,show cdp neighbors detail,2026-03-05_1918,1
SW2,show cdp neighbors,2026-03-05_1918,1
R1,show lldp neighbors,2026-03-05_1627,1
R2,show lldp neighbors,2026-03-05_1627,1
R3,show cdp neighbors,2026-03-05_1627,1
R3,show cdp neighbors detail,2026-03-05_1627,1
R3,show lldp neighbors detail,2026-03-05_1627,1
R3,show lldp neighbors,2026-03-05_1627,1
R4,show cdp neighbors detail,2026-03-05_1627,1
R4,show cdp neighbors,2026-03-05_1627,1
R4,show lldp neighbors,2026-03-05_1627,1
R4,show lldp neighbors detail,2026-03-05_1627,1
SW1,show cdp neighbors detail,2026-03-05_1627,1
SW1,show cdp neighbors,2026-03-05_1627,1
SW2,show cdp neighbors,2026-03-05_1627,1
SW2,show cdp neighbors detail,2026-03-05_1627,1
R1,show lldp neighbors,2026-03-05_1615,1
R2,show lldp neighbors,2026-03-05_1615,1
R3,show cdp neighbors,2026-03-05_1615,1
R3,show lldp neighbors,2026-03-05_1615,1
R3,show lldp neighbors detail,2026-03-05_1615,1
R3,show cdp neighbors detail,2026-03-05_1615,1
R4,show lldp neighbors detail,2026-03-05_1615,1
R4,show cdp neighbors detail,2026-03-05_1615,1
R4,show cdp neighbors,2026-03-05_1615,1
R4,show lldp neighbors,2026-03-05_1615,1
SW1,show cdp neighbors detail,2026-03-05_1615,1
SW1,show cdp neighbors,2026-03-05_1615,1
SW2,show cdp neighbors detail,2026-03-05_1615,1
SW2,show cdp neighbors,2026-03-05_1615,1
R1,show lldp neighbors,2026-03-05_1559,1
R2,show lldp neighbors,2026-03-05_1559,1
R3,show lldp neighbors,2026-03-05_1559,1
R3,show lldp neighbors detail,2026-03-05_1559,1
R3,show cdp neighbors detail,2026-03-05_1559,1
R3,show cdp neighbors,2026-03-05_1559,1
R4,show lldp neighbors detail,2026-03-05_1559,1
R4,show cdp neighbors detail,2026-03-05_1559,1
R4,show cdp neighbors,2026-03-05_1559,1
R4,show lldp neighbors,2026-03-05_1559,1
SW1,show cdp neighbors detail,2026-03-05_1559,1
SW1,show cdp neighbors,2026-03-05_1559,1
SW2,show cdp neighbors detail,2026-03-05_1559,1
SW2,show cdp neighbors,2026-03-05_1559,1
R1,show lldp neighbors,2026-03-04_1124,1
R2,show lldp neighbors,2026-03-04_1124,1
R3,show cdp neighbors,2026-03-04_1124,1
R3,show cdp neighbors detail,2026-03-04_1124,1
R3,show lldp neighbors detail,2026-03-04_1124,1
R3,show lldp neighbors,2026-03-04_1124,1
R4,show cdp neighbors detail,2026-03-04_1124,1
R4,show lldp neighbors,2026-03-04_1124,1
R4,show cdp neighbors,2026-03-04_1124,1
R4,show lldp neighbors detail,2026-03-04_1124,1
SW1,show cdp neighbors detail,2026-03-04_1124,1
SW1,show cdp neighbors,2026-03-04_1124,1
SW2,show cdp neighbors,2026-03-04_1124,1
SW2,show cdp neighbors detail,2026-03-04_1124,1
R1,show lldp neighbors,2026-03-04_1115,1
R2,show lldp neighbors,2026-03-04_1115,1
R3,show lldp neighbors detail,2026-03-04_1115,1
R3,show lldp neighbors,2026-03-04_1115,1
R3,show cdp neighbors,2026-03-04_1115,1
R3,show cdp neighbors detail,2026-03-04_1115,1
R4,show cdp neighbors,2026-03-04_1115,1
R4,show lldp neighbors,2026-03-04_1115,1
R4,show cdp neighbors detail,2026-03-04_1115,1
R4,show lldp neighbors detail,2026-03-04_1115,1
SW1,show cdp neighbors detail,2026-03-04_1115,1
SW1,show cdp neighbors,2026-03-04_1115,1
SW2,show cdp neighbors detail,2026-03-04_1115,1
SW2,show cdp neighbors,2026-03-04_1115,1
R1,show lldp neighbors,2026-03-04_1109,1
R2,show lldp neighbors,2026-03-04_1109,1
R3,show lldp neighbors detail,2026-03-04_1109,1
R3,show cdp neighbors,2026-03-04_1109,1
R3,show lldp neighbors,2026-03-04_1109,1
R3,show cdp neighbors detail,2026-03-04_1109,1
R4,show lldp neighbors,2026-03-04_1109,1
R4,show cdp neighbors,2026-03-04_1109,1
R4,show cdp neighbors detail,2026-03-04_1109,1
R4,show lldp neighbors detail,2026-03-04_1109,1
SW1,show cdp neighbors detail,2026-03-04_1109,1
SW1,show cdp neighbors,2026-03-04_1109,1
SW2,show cdp neighbors detail,2026-03-04_1109,1
SW2,show cdp neighbors,2026-03-04_1109,1
R1,show lldp neighbors,2026-03-03_2009,1
R2,show lldp neighbors,2026-03-03_2009,1
R3,show cdp neighbors,2026-03-03_2009,1
R3,show lldp neighbors,2026-03-03_2009,1
R3,show cdp neighbors detail,2026-03-03_2009,1
R3,show lldp neighbors detail,2026-03-03_2009,1
R4,show lldp neighbors detail,2026-03-03_2009,1
R4,show cdp neighbors,2026-03-03_2009,1
R4,show lldp neighbors,2026-03-03_2009,1
R4,show cdp neighbors detail,2026-03-03_2009,1
SW1,show cdp neighbors,2026-03-03_2009,1
SW1,show cdp neighbors detail,2026-03-03_2009,1
SW2,show cdp neighbors,2026-03-03_2009,1
SW2,show cdp neighbors detail,2026-03-03_2009,1
R1,show lldp neighbors,2026-03-03_1951,1
R2,show lldp neighbors,2026-03-03_1951,1
R3,show cdp neighbors,2026-03-03_1951,1
R3,show lldp neighbors,2026-03-03_1951,1
R3,show cdp neighbors detail,2026-03-03_1951,1
R3,show lldp neighbors detail,2026-03-03_1951,1
R4,show lldp neighbors detail,2026-03-03_1951,1
R4,show lldp neighbors,2026-03-03_1951,1
R4,show cdp neighbors,2026-03-03_1951,1
R4,show cdp neighbors detail,2026-03-03_1951,1
SW1,show cdp neighbors,2026-03-03_1951,1
SW1,show cdp neighbors detail,2026-03-03_1951,1
SW2,show cdp neighbors,2026-03-03_1951,1
SW2,show cdp neighbors detail,2026-03-03_1951,1
R1,show lldp neighbors,2026-03-03_1944,1
R2,show lldp neighbors,2026-03-03_1944,1
R3,show cdp neighbors detail,2026-03-03_1944,1
R3,show cdp neighbors,2026-03-03_1944,1
R3,show lldp neighbors,2026-03-03_1944,1
R3,show lldp neighbors detail,2026-03-03_1944,1
R4,show cdp neighbors,2026-03-03_1944,1
R4,show lldp neighbors,2026-03-03_1944,1
R4,show lldp neighbors detail,2026-03-03_1944,1
R4,show cdp neighbors detail,2026-03-03_1944,1
SW1,show cdp neighbors,2026-03-03_1944,1
SW1,show cdp neighbors detail,2026-03-03_1944,1
SW2,show cdp neighbors,2026-03-03_1944,1
SW2,show cdp neighbors detail,2026-03-03_1944,1
R1,show lldp neighbors,2026-03-03_1940,1
R2,show lldp neighbors,2026-03-03_1940,1
R3,show lldp neighbors detail,2026-03-03_1940,1
R3,show lldp neighbors,2026-03-03_1940,1
R3,show cdp neighbors,2026-03-03_1940,1
R3,show cdp neighbors detail,2026-03-03_1940,1
R4,show lldp neighbors,2026-03-03_1940,1
R4,show cdp neighbors,2026-03-03_1940,1
R4,show cdp neighbors detail,2026-03-03_1940,1
R4,show lldp neighbors detail,2026-03-03_1940,1
SW1,show cdp neighbors detail,2026-03-03_1940,1
SW1,show cdp neighbors,2026-03-03_1940,1
SW2,show cdp neighbors,2026-03-03_1940,1
SW2,show cdp neighbors detail,2026-03-03_1940,1
R1,show lldp neighbors,2026-03-03_1754,1
R2,show lldp neighbors,2026-03-03_1754,1
R3,show lldp neighbors detail,2026-03-03_1754,1
R3,show lldp neighbors,2026-03-03_1754,1
R3,show cdp neighbors,2026-03-03_1754,1
R3,show cdp neighbors detail,2026-03-03_1754,1
R4,show lldp neighbors,2026-03-03_1754,1
R4,show cdp neighbors,2026-03-03_1754,1
R4,show cdp neighbors detail,2026-03-03_1754,1
R4,show lldp neighbors detail,2026-03-03_1754,1
SW1,show cdp neighbors detail,2026-03-03_1754,1
SW1,show cdp neighbors,2026-03-03_1754,1
SW2,show cdp neighbors detail,2026-03-03_1754,1
SW2,show cdp neighbors,2026-03-03_1754,1
R1,show lldp neighbors,2026-03-03_1751,1
R2,show lldp neighbors,2026-03-03_1751,1
R3,show lldp neighbors detail,2026-03-03_1751,1
R3,show cdp neighbors detail,2026-03-03_1751,1
R3,show cdp neighbors,2026-03-03_1751,1
R3,show lldp neighbors,2026-03-03_1751,1
R4,show lldp neighbors,2026-03-03_1751,1
R4,show cdp neighbors,2026-03-03_1751,1
R4,show cdp neighbors detail,2026-03-03_1751,1
R4,show lldp neighbors detail,2026-03-03_1751,1
SW1,show cdp neighbors detail,2026-03-03_1751,1
SW1,show cdp neighbors,2026-03-03_1751,1
SW2,show cdp neighbors,2026-03-03_1751,1
SW2,show cdp neighbors detail,2026-03-03_1751,1
R1,show lldp neighbors,2026-03-03_1746,1
R2,show lldp neighbors,2026-03-03_1746,1
R3,show cdp neighbors detail,2026-03-03_1746,1
R3,show cdp neighbors,2026-03-03_1746,1
R3,show lldp neighbors,2026-03-03_1746,1
R3,show lldp neighbors detail,2026-03-03_1746,1
R4,show lldp neighbors,2026-03-03_1746,1
R4,show cdp neighbors,2026-03-03_1746,1
R4,show lldp neighbors detail,2026-03-03_1746,1
R4,show cdp neighbors detail,2026-03-03_1746,1
SW1,show cdp neighbors,2026-03-03_1746,1
SW1,show cdp neighbors detail,2026-03-03_1746,1
SW2,show cdp neighbors detail,2026-03-03_1746,1
SW2,show cdp neighbors,2026-03-03_1746,1
R1,show lldp neighbors,2026-03-02_2246,1
R2,show lldp neighbors,2026-03-02_2246,1
R3,show cdp neighbors,2026-03-02_2246,1
R3,show lldp neighbors,2026-03-02_2246,1
R3,show lldp neighbors detail,2026-03-02_2246,1
R3,show cdp neighbors detail,2026-03-02_2246,1
R4,show lldp neighbors detail,2026-03-02_2246,1
R4,show cdp neighbors detail,2026-03-02_2246,1
R4,show cdp neighbors,2026-03-02_2246,1
R4,show lldp neighbors,2026-03-02_2246,1
SW1,show cdp neighbors detail,2026-03-02_2246,1
SW1,show cdp neighbors,2026-03-02_2246,1
SW2,show cdp neighbors,2026-03-02_2246,1
SW2,show cdp neighbors detail,2026-03-02_2246,1
R1,show lldp neighbors,2026-03-02_2133,1
R2,show lldp neighbors,2026-03-02_2133,1
R3,show lldp neighbors,2026-03-02_2133,1
R3,show cdp neighbors,2026-03-02_2133,1
R3,show lldp neighbors detail,2026-03-02_2133,1
R3,show cdp neighbors detail,2026-03-02_2133,1
R4,show cdp neighbors detail,2026-03-02_2133,1
R4,show lldp neighbors detail,2026-03-02_2133,1
R4,show lldp neighbors,2026-03-02_2133,1
R4,show cdp neighbors,2026-03-02_2133,1
SW1,show cdp neighbors detail,2026-03-02_2133,1
SW1,show cdp neighbors,2026-03-02_2133,1
SW2,show cdp neighbors detail,2026-03-02_2133,1
SW2,show cdp neighbors,2026-03-02_2133,1
R1,show lldp neighbors,2026-03-02_2127,1
R2,show lldp neighbors,2026-03-02_2127,1
R3,show cdp neighbors,2026-03-02_2127,1
R3,show cdp neighbors detail,2026-03-02_2127,1
R3,show lldp neighbors detail,2026-03-02_2127,1
R3,show lldp neighbors,2026-03-02_2127,1
R4,show cdp neighbors detail,2026-03-02_2127,1
R4,show cdp neighbors,2026-03-02_2127,1
R4,show lldp neighbors,2026-03-02_2127,1
R4,show lldp neighbors detail,2026-03-02_2127,1
SW1,show cdp neighbors detail,2026-03-02_2127,1
SW1,show cdp neighbors,2026-03-02_2127,1
SW2,show cdp neighbors,2026-03-02_2127,1
SW2,show cdp neighbors detail,2026-03-02_2127,1
R1,show lldp neighbors,2026-03-02_2110,1
R2,show lldp neighbors,2026-03-02_2110,1
R3,show lldp neighbors detail,2026-03-02_2110,1
R3,show cdp neighbors detail,2026-03-02_2110,1
R3,show cdp neighbors,2026-03-02_2110,1
R3,show lldp neighbors,2026-03-02_2110,1
R4,show lldp neighbors,2026-03-02_2110,1
R4,show cdp neighbors,2026-03-02_2110,1
R4,show cdp neighbors detail,2026-03-02_2110,1
R4,show lldp neighbors detail,2026-03-02_2110,1
SW1,show cdp neighbors detail,2026-03-02_2110,1
SW1,show cdp neighbors,2026-03-02_2110,1
SW2,show cdp neighbors,2026-03-02_2110,1
SW2,show cdp neighbors detail,2026-03-02_2110,1
R1,show lldp neighbors,2026-03-02_2038,1
R2,show lldp neighbors,2026-03-02_2038,1
R3,show lldp neighbors detail,2026-03-02_2038,1
R3,show cdp neighbors detail,2026-03-02_2038,1
R3,show cdp neighbors,2026-03-02_2038,1
R3,show lldp neighbors,2026-03-02_2038,1
R4,show lldp neighbors,2026-03-02_2038,1
R4,show cdp neighbors,2026-03-02_2038,1
R4,show cdp neighbors detail,2026-03-02_2038,1
R4,show lldp neighbors detail,2026-03-02_2038,1
SW1,show cdp neighbors detail,2026-03-02_2038,1
SW1,show cdp neighbors,2026-03-02_2038,1
SW2,show cdp neighbors,2026-03-02_2038,1
SW2,show cdp neighbors detail,2026-03-02_2038,1
R1,show lldp neighbors,2026-03-02_1829,1
R2,show lldp neighbors,2026-03-02_1829,1
R3,show cdp neighbors detail,2026-03-02_1829,1
R3,show lldp neighbors,2026-03-02_1829,1
R3,show cdp neighbors,2026-03-02_1829,1
R3,show lldp neighbors detail,2026-03-02_1829,1
R4,show lldp neighbors,2026-03-02_1829,1
R4,show cdp neighbors,2026-03-02_1829,1
R4,show lldp neighbors detail,2026-03-02_1829,1
R4,show cdp neighbors detail,2026-03-02_1829,1
SW1,show cdp neighbors,2026-03-02_1829,1
SW1,show cdp neighbors detail,2026-03-02_1829,1
SW2,show cdp neighbors,2026-03-02_1829,1
SW2,show cdp neighbors detail,2026-03-02_1829,1
R1,show lldp neighbors,2026-03-02_1810,1
R2,show lldp neighbors,2026-03-02_1810,1
R3,show lldp neighbors,2026-03-02_1810,1
R3,show lldp neighbors detail,2026-03-02_1810,1
R3,show cdp neighbors detail,2026-03-02_1810,1
R3,show cdp neighbors,2026-03-02_1810,1
R4,show lldp neighbors detail,2026-03-02_1810,1
R4,show cdp neighbors detail,2026-03-02_1810,1
R4,show lldp neighbors,2026-03-02_1810,1
R4,show cdp neighbors,2026-03-02_1810,1
SW1,show cdp neighbors,2026-03-02_1810,1
SW1,show cdp neighbors detail,2026-03-02_1810,1
SW2,show cdp neighbors detail,2026-03-02_1810,1
SW2,show cdp neighbors,2026-03-02_1810,1
R1,show lldp neighbors,2026-03-02_1717,1
R2,show lldp neighbors,2026-03-02_1717,1
R3,show cdp neighbors,2026-03-02_1717,1
R3,show lldp neighbors,2026-03-02_1717,1
R3,show lldp neighbors detail,2026-03-02_1717,1
R3,show cdp neighbors detail,2026-03-02_1717,1
R4,show lldp neighbors detail,2026-03-02_1717,1
R4,show cdp neighbors detail,2026-03-02_1717,1
R4,show cdp neighbors,2026-03-02_1717,1
R4,show lldp neighbors,2026-03-02_1717,1
SW1,show cdp neighbors detail,2026-03-02_1717,1
SW1,show cdp neighbors,2026-03-02_1717,1
SW2,show cdp neighbors detail,2026-03-02_1717,1
SW2,show cdp neighbors,2026-03-02_1717,1
R1,show lldp neighbors,2026-03-02_1652,1
R2,show lldp neighbors,2026-03-02_1652,1
R3,show cdp neighbors detail,2026-03-02_1652,1
R3,show lldp neighbors detail,2026-03-02_1652,1
R3,show cdp neighbors,2026-03-02_1652,1
R3,show lldp neighbors,2026-03-02_1652,1
R4,show lldp neighbors,2026-03-02_1652,1
R4,show cdp neighbors,2026-03-02_1652,1
R4,show cdp neighbors detail,2026-03-02_1652,1
R4,show lldp neighbors detail,2026-03-02_1652,1
SW1,show cdp neighbors detail,2026-03-02_1652,1
SW1,show cdp neighbors,2026-03-02_1652,1
SW2,show cdp neighbors,2026-03-02_1652,1
SW2,show cdp neighbors detail,2026-03-02_1652,1
